,active,competitorType,market,marketAbbr,name,nameShort,primaryColor,shortCode,sportId,teamId,teamIdsByProvider
290,True,Team,Jacksonville State,JVST,Gamecocks,Gamecocks,,JVST,6,481,"{'6': '13358462-e05b-4449-8688-90c4622cdde8', '15': '42218'}"
291,True,Team,Middle Tennessee,MTU,Blue Raiders,Blue Raiders,,MTU,6,579,"{'6': '3d2f0819-8f3b-4ff3-afd6-6227c469a751', '15': '42683'}"
292,True,Team,New Mexico State,NMSU,Aggies,Aggies,,NMSU,6,593,"{'6': '5016fe1a-9571-4d10-bf5b-b9c1b496bd57', '15': '44223'}"
293,True,Team,Florida International,FIU,Panthers,Panthers,#022C66,FIU,6,587,"{'6': 'a8ac24ca-3b7a-4610-ad99-042661584c48', '15': '44920'}"
294,True,Team,Utah State,USU,Aggies,Aggies,,USU,6,696,"{'6': '7672ff16-8436-47e6-8546-0fb5494ec7ee', '15': '44224'}"
295,True,Team,Nevada,NEV,Wolf Pack,Wolf Pack,#0D294B,NEV,6,694,"{'6': '62a73b4a-e281-4483-a1f8-f1160a18e456', '15': '44201'}"
296,True,Team,New Mexico,UNM,Lobos,Lobos,,UNM,6,692,"{'6': '1b1977ec-b32f-4ce3-95a4-d07bab4816cd', '15': '44215'}"
297,True,Team,San Diego State,SDSU,Aztecs,Aztecs,#C33138,SDSU,6,701,"{'6': 'e6914f16-ca37-4d2e-ba26-a425910283e2', '15': '44675'}"
298,True,Team,Colorado State,CSU,Rams,Rams,#212121,CSU,6,691,"{'6': '1a470730-f328-4fb1-8bbf-36a069e4d6b2', '15': '45374'}"
299,True,Team,Boise State,BSU,Broncos,Broncos,,BSU,6,699,"{'6': 'c1c54dbf-805c-47fc-a707-c803e94db2a4', '15': '43598'}"
300,True,Team,UNLV,UNLV,Runnin' Rebels,Runnin' Rebels,#DD2D2F,UNLV,6,695,"{'6': '68a3227f-677f-43b0-9a3a-cad79d0df9e2', '15': '43654'}"
301,True,Team,Wyoming,WYO,Cowboys,Cowboys,#290D05,WYO,6,697,"{'6': 'a7127c0a-a466-47ae-91ad-9a71ee2c9427', '15': '44757'}"
302,True,Team,Fresno State,FRES,Bulldogs,Bulldogs,,FRES,6,700,"{'6': 'dd8db4d8-d984-4cab-b7f6-22c6b8c2c45f', '15': '44624'}"
303,True,Team,Air Force,AFA,Falcons,Falcons,,AFA,6,698,"{'6': 'aa7af640-5762-4686-9181-39f7b8a8186e', '15': '41409'}"
304,True,Team,San Jose State,SJSU,Spartans,Spartans,,SJSU,6,693,"{'6': '29de4e5e-ee5b-48c8-bffc-1972e7da1e30', '15': '41391'}"
305,True,Team,North Carolina,UNC,Tar Heels,Tar Heels,,UNC,6,647,"{'6': 'e9ca48b2-00ba-41c0-a02b-6885a2da1ff1', '15': '42450'}"
306,True,Team,Duke,DUKE,Blue Devils,Blue Devils,,DUKE,6,648,"{'6': 'faeb1160-5d15-4f26-99fc-c441cf21fc7f', '15': '44551'}"
307,True,Team,Virginia,UVA,Cavaliers,Cavaliers,#2D303F,UVA,6,640,"{'6': '56913910-87f7-4ad7-ae3b-5cd9fb218fd9', '15': '42373'}"
308,True,Team,Clemson,CLEM,Tigers,Tigers,,CLEM,6,646,"{'6': 'dcf5c2e7-c227-4c20-af26-715d5f859412', '15': '41619'}"
309,True,Team,North Carolina State,NCST,Wolfpack,Wolfpack,#CC0000,NCST,6,639,"{'6': '52df1e19-b142-4a76-a439-ad68455d0581', '15': '42018'}"
310,True,Team,Pittsburgh,PITT,Panthers,Panthers,,PITT,6,635,"{'6': '24051034-96bb-4f78-a3a6-312f3258780f', '15': '42103'}"
311,True,Team,Syracuse,SYR,Orange,Orange,#F15121,SYR,6,643,"{'6': '8cd24de1-2be8-4b77-bcfa-47be0495a5f4', '15': '42278'}"
312,True,Team,Wake Forest,WAKE,Demon Deacons,Demon Deacons,,WAKE,6,638,"{'6': '4fbebf0a-e117-4a0c-8f15-c247535a2a1b', '15': '43016'}"
313,True,Team,Virginia Tech,VT,Hokies,Hokies,#721414,VT,6,636,"{'6': '324ccccc-575b-4b82-acb0-fbb8e68da13b', '15': '42130'}"
314,True,Team,Boston College,BC,Eagles,Eagles,#610B18,BC,6,637,"{'6': '4b3ff02c-e0ba-435b-a565-6075bc491684', '15': '41538'}"
315,True,Team,Florida State,FSU,Seminoles,Seminoles,#833641,FSU,6,645,"{'6': 'd3c8a767-b6fc-45d4-a5f2-18406f2993f1', '15': '44126'}"
316,True,Team,Miami (FL),MIA,Hurricanes,Hurricanes,,MIA,6,641,"{'6': '7aec5187-cb1b-45e5-8f7d-406d766cdc73', '15': '41943'}"
317,True,Team,Georgia Tech,GT,Yellow Jackets,Yellow Jackets,#DCD290,GT,6,634,"{'6': '0f63a6f5-bda7-4fd9-9271-8d33f555ca19', '15': '42150'}"
318,True,Team,Notre Dame,ND,Fighting Irish,Fighting Irish,#303345,ND,6,642,"{'6': '80962f09-8821-48b6-8cf0-0cf0eea56aa8', '15': '42047'}"
319,True,Team,Louisville,LOU,Cardinals,Cardinals,#C9001F,LOU,6,644,"{'6': 'b795ddbc-baab-4499-8803-52e8608520ab', '15': '41477'}"
320,True,Team,Morehead State,MORE,Eagles,Eagles,,MORE,6,489,"{'6': 'b7747a03-c85b-4de6-94bf-1b5b68553248', '15': '41341'}"
321,True,Team,Tennessee-Martin,UTM,Skyhawks,Skyhawks,,UTM,6,486,"{'6': '9febd5fa-982f-4f40-ad1d-8e49be96cf4f', '15': '44408'}"
322,True,Team,Western Illinois,WIU,Leathernecks,Leathernecks,,WIU,6,564,"{'6': 'cc9e5424-ab3b-41ec-b2aa-7e8a73d759c6', '15': '43883'}"
323,True,Team,Little Rock,UALR,Trojans,Trojans,,UALR,6,513,"{'6': '0dadedb0-2bd3-45e7-91a3-93af6c4e87f2', '15': '41541'}"
324,True,Team,Tennessee State,TNST,Tigers,Tigers,#0F53A0,TNST,6,485,"{'6': '87721c44-53a2-47aa-9b3a-0f1c99b0f328', '15': '43176'}"
325,True,Team,SIU-Edwardsville,SIUE,Cougars,Cougars,,SIUE,6,490,"{'6': 'c206712f-2298-4279-b76c-834ac42809b9', '15': '43647'}"
326,True,Team,Eastern Illinois,EIU,Panthers,Panthers,,EIU,6,482,"{'6': '23fec4e7-108f-4569-85d1-bef2f794e925', '15': '43438'}"
327,True,Team,Tennessee Tech,TNTC,Golden Eagles,Golden Eagles,,TNTC,6,492,"{'6': 'fe037cba-25d9-42f5-a461-61d7102c17de', '15': '43064'}"
328,True,Team,Lindenwood,LINW,Lions,Lions,,LINW,6,1033,"{'6': '1cb7d0f5-6529-4b71-80a5-a2bee1d505a8', '15': '42171'}"
329,True,Team,Southeast Missouri State,SEMO,Redhawks,Redhawks,,SEMO,6,483,"{'6': '6a7083ab-1832-48c0-9168-427b35adbcde', '15': '43381'}"
330,True,Team,Southern Indiana,USI,Screaming Eagles,Screaming Eagles,,USI,6,5599,"{'6': '95c92bbf-3fbe-471f-b7bc-375f9018d785', '15': '658367'}"
331,True,Team,UC Irvine,UCI,Anteaters,Anteaters,,UCI,6,568,"{'6': '39d00ef7-320d-47cf-a2fa-859bc24d16b4', '15': '44593'}"
332,True,Team,UC San Diego,UCSD,Tritons,Tritons,,UCSD,6,571,"{'6': '55a2e70d-efe3-4aa6-b625-daab2faa4991', '15': '302038'}"
333,True,Team,UC Davis,UCD,Aggies,Aggies,#283652,UCD,6,573,"{'6': '8aaad1c0-d16e-4b9f-8541-dac670addd71', '15': '44568'}"
334,True,Team,Hawai'i,HAW,Rainbow Warriors,Rainbow Warriors,#3F706A,HAW,6,576,"{'6': 'd4dc55b3-94fe-4d4f-b0bf-c50c5f064392', '15': '42888'}"
335,True,Team,Long Beach State,LBSU,Beach,Beach,,LBSU,6,566,"{'6': '11a617d5-af03-4cce-bc8a-51114d9e41fe', '15': '42848'}"
336,True,Team,Cal State Northridge,CSN,Matadors,Matadors,,CSN,6,575,"{'6': 'cb732075-23a5-4e71-9037-50a7a002bdb2', '15': '44653'}"
337,True,Team,UC Santa Barbara,UCSB,Gauchos,Gauchos,,UCSB,6,569,"{'6': '3b6293f3-03db-46d2-8793-248963c2d83b', '15': '44766'}"
338,True,Team,UC Riverside,UCRV,Highlanders,Highlanders,,UCRV,6,572,"{'6': '6b170a32-8445-4cb1-8638-724996c3094b', '15': '44279'}"
339,True,Team,Cal State Fullerton,CSF,Titans,Titans,,CSF,6,574,"{'6': 'c009914b-3303-4dee-b915-978aa48a31d0', '15': '42891'}"
340,True,Team,Cal State Bakersfield,CSB,Roadrunners,Roadrunners,,CSB,6,567,"{'6': '2da57857-b038-4ad3-8199-e3fb339f57d2', '15': '45399'}"
341,True,Team,Cal Poly,CP,Mustangs,Mustangs,,CP,6,570,"{'6': '45439cdb-af7a-4743-936c-dccc76b30877', '15': '45429'}"
342,True,Team,Youngstown State,YSU,Penguins,Penguins,#B8070F,YSU,6,688,"{'6': 'da7d41bc-48b0-4a04-948f-792d6470bcb5', '15': '42113'}"
343,True,Team,Oakland,OAK,Golden Grizzlies,Golden Grizzlies,,OAK,6,687,"{'6': 'aeaaef0d-5238-414e-ac04-c55a22cba208', '15': '41977'}"
344,True,Team,Purdue Fort Wayne,PFW,Mastodons,Mastodons,,PFW,6,680,"{'6': '22984593-0701-4648-b8a8-f6d695238620', '15': '44341'}"
