,teamId,teamIdsByProvider,sportId,shortCode,market,marketAbbr,name,nameShort,active,primaryColor,competitorType
66,129,"{'6': 'd23058c1-7aaa-44cd-995b-b4be7078df22', '10': '1000087348', '15': '8360'}",5,ARM,Army,ARM,Black Knights,Black Knights,True,#2D2E31,Team
67,133,"{'6': '7f6bddcc-db68-4bcc-9450-43274e5556ab', '10': '1001091023', '15': '9202'}",5,UMASS,UMass,UMASS,Minutemen,Minutemen,True,#572932,Team
68,132,"{'6': '1a11c84d-18be-40d0-a354-f188958e16b1', '10': '1000080912', '15': '9189'}",5,UCONN,UConn,UCONN,Huskies,Huskies,True,#1C3477,Team
69,138,"{'6': '25a0e60a-2452-494b-8d9e-5177962cf569', '15': '8013'}",5,MOH,Miami (OH),MOH,RedHawks,RedHawks,True,#B61E2E,Team
70,134,"{'6': 'a12fcb3c-9e0c-489d-a6a9-1a206c3da09c', '10': '1000047540', '15': '8018'}",5,OHI,Ohio,OHI,Bobcats,Bobcats,True,#147A61,Team
71,136,"{'6': '397830a6-c9c2-4c76-bcbc-cb1cdba768f0', '10': '1000040884', '15': '7985'}",5,BGN,Bowling Green,BGN,Falcons,Falcons,True,#DA411E,Team
72,135,"{'6': '5fb529f6-f6b3-4892-a188-9b38addcc9a3', '10': '1000083177', '15': '9238'}",5,BUF,Buffalo,BUF,Bulls,Bulls,True,#6EABD8,Team
73,139,"{'6': 'a90583d2-3576-4abc-906e-974e84a4b2f0', '10': '1000068454', '15': '7976'}",5,AKR,Akron,AKR,Zips,Zips,True,#29355E,Team
74,137,"{'6': '6f81c322-8398-4f16-83ee-d10cd85e2184', '10': '1000022647', '15': '8004'}",5,KNT,Kent State,KNT,Golden Flashes,Golden Flashes,True,#2C3264,Team
75,145,"{'6': '692e1f0e-3c3a-4223-b2cf-7bbc58cf4977', '10': '1000076080', '15': '8022'}",5,TOL,Toledo,TOL,Rockets,Rockets,True,#002047,Team
76,144,"{'6': '0767c157-b084-4239-a684-954a22671bce', '10': '1000064347', '15': '7954'}",5,NIL,Northern Illinois,NIL,Huskies,Huskies,True,#C11B33,Team
77,143,"{'6': '0fdbf00d-49c6-4c31-abb1-b40cab08c40e', '10': '1000087448', '15': '7997'}",5,EMC,Eastern Michigan,EMC,Eagles,Eagles,True,#044A27,Team
78,142,"{'6': '03aa49b8-9a36-4e77-adf1-01cc5e2e6a14', '10': '1000046748', '15': '7991'}",5,CMC,Central Michigan,CMC,Chippewas,Chippewas,True,#701E3C,Team
79,140,"{'6': 'ed169b71-75b4-40dd-ae28-8e17519c06ba', '10': '1000046942', '15': '8028'}",5,WMC,Western Michigan,WMC,Broncos,Broncos,True,#131814,Team
80,141,"{'6': '5b0018d4-52d0-4b53-b90c-2c597298a4bb', '10': '1000052317', '15': '7980'}",5,BALL,Ball State,BALL,Cardinals,Cardinals,True,#CF1112,Team
81,154,"{'6': '5f105ef1-4d01-45a5-bfbb-497ee86a8eba', '10': '1000071151', '15': '7941'}",5,UNLV,UNLV,UNLV,Rebels,Rebels,True,#DD2D2F,Team
82,147,"{'6': '35aa5295-ad07-4b95-aad2-63d1d5bf9009', '10': '1000025039', '15': '8468'}",5,BOISE,Boise State,BOISE,Broncos,Broncos,True,#0133A4,Team
