teamId,teamIdsByProvider,sportId,shortCode,market,marketAbbr,name,nameShort,fullname,primaryColor,sportid2,eventgroupid,generalSportName,sportname,teamwebsite,otherwebsite,Column1
649,"{'6': '09920a5f-1b25-466c-b5ae-6167214f5ba9', '15': '44315'}",6,UNF,North Florida,UNF,Ospreys,Ospreys,North Florida Ospreys,,6,92483,Basketball,CBB,None,None,"{""teamId"":""649"", ""teamIdsByProvider"":""{'6': '09920a5f-1b25-466c-b5ae-6167214f5ba9', '15': '44315'}"", ""sportId"":""6"", ""shortCode"":""UNF"", ""market"":""North Florida"", ""marketAbbr"":""UNF"", ""name"":""Ospreys"", ""nameShort"":""Ospreys"", ""fullname"":""North Florida Ospreys"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
657,"{'6': 'fb28bd56-9e56-40c1-992d-71c1e27fe4fd', '15': '41870'}",6,JAC,Jacksonville,JAC,Dolphins,Dolphins,Jacksonville Dolphins,,6,92483,Basketball,CBB,None,None,"{""teamId"":""657"", ""teamIdsByProvider"":""{'6': 'fb28bd56-9e56-40c1-992d-71c1e27fe4fd', '15': '41870'}"", ""sportId"":""6"", ""shortCode"":""JAC"", ""market"":""Jacksonville"", ""marketAbbr"":""JAC"", ""name"":""Dolphins"", ""nameShort"":""Dolphins"", ""fullname"":""Jacksonville Dolphins"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
650,"{'6': '2e8442e9-bd09-4d46-9dd3-de79433287f3', '15': '45333'}",6,KENN,Kennesaw State,KENN,Owls,Owls,Kennesaw State Owls,#2447A1,6,92483,Basketball,CBB,None,None,"{""teamId"":""650"", ""teamIdsByProvider"":""{'6': '2e8442e9-bd09-4d46-9dd3-de79433287f3', '15': '45333'}"", ""sportId"":""6"", ""shortCode"":""KENN"", ""market"":""Kennesaw State"", ""marketAbbr"":""KENN"", ""name"":""Owls"", ""nameShort"":""Owls"", ""fullname"":""Kennesaw State Owls"", ""primaryColor"":""#2447A1"", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
655,"{'6': '61db8108-45f1-43e5-ade8-83278324bc7d', '15': '42768'}",6,UNA,North Alabama,UNA,Lions,Lions,North Alabama Lions,#2447A1,6,92483,Basketball,CBB,None,None,"{""teamId"":""655"", ""teamIdsByProvider"":""{'6': '61db8108-45f1-43e5-ade8-83278324bc7d', '15': '42768'}"", ""sportId"":""6"", ""shortCode"":""UNA"", ""market"":""North Alabama"", ""marketAbbr"":""UNA"", ""name"":""Lions"", ""nameShort"":""Lions"", ""fullname"":""North Alabama Lions"", ""primaryColor"":""#2447A1"", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
653,"{'6': '5326c079-3dc3-468f-a601-b776dd9c1e62', '15': '41856'}",6,FGCU,Florida Gulf Coast,FGCU,Eagles,Eagles,Florida Gulf Coast Eagles,,6,92483,Basketball,CBB,None,None,"{""teamId"":""653"", ""teamIdsByProvider"":""{'6': '5326c079-3dc3-468f-a601-b776dd9c1e62', '15': '41856'}"", ""sportId"":""6"", ""shortCode"":""FGCU"", ""market"":""Florida Gulf Coast"", ""marketAbbr"":""FGCU"", ""name"":""Eagles"", ""nameShort"":""Eagles"", ""fullname"":""Florida Gulf Coast Eagles"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
1522,"{'6': 'a3676da1-8404-4065-88a8-3e6d38f847c5', '15': '529077'}",6,QUC,Queens University,QUC,Royals,Royals,Queens University Royals,,6,92483,Basketball,CBB,None,None,"{""teamId"":""1522"", ""teamIdsByProvider"":""{'6': 'a3676da1-8404-4065-88a8-3e6d38f847c5', '15': '529077'}"", ""sportId"":""6"", ""shortCode"":""QUC"", ""market"":""Queens University"", ""marketAbbr"":""QUC"", ""name"":""Royals"", ""nameShort"":""Royals"", ""fullname"":""Queens University Royals"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
609,"{'6': 'dfc2dfb7-aa67-4c48-99c9-4fa6c6bc4355', '15': '43124'}",6,CARK,Central Arkansas,CARK,Bears,Bears,Central Arkansas Bears,,6,92483,Basketball,CBB,None,None,"{""teamId"":""609"", ""teamIdsByProvider"":""{'6': 'dfc2dfb7-aa67-4c48-99c9-4fa6c6bc4355', '15': '43124'}"", ""sportId"":""6"", ""shortCode"":""CARK"", ""market"":""Central Arkansas"", ""marketAbbr"":""CARK"", ""name"":""Bears"", ""nameShort"":""Bears"", ""fullname"":""Central Arkansas Bears"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
652,"{'6': '427da272-8ce3-45db-ab29-c612dc74c1e0', '15': '521405'}",6,BELL,Bellarmine,BELL,Knights,Knights,Bellarmine Knights,,6,92483,Basketball,CBB,None,None,"{""teamId"":""652"", ""teamIdsByProvider"":""{'6': '427da272-8ce3-45db-ab29-c612dc74c1e0', '15': '521405'}"", ""sportId"":""6"", ""shortCode"":""BELL"", ""market"":""Bellarmine"", ""marketAbbr"":""BELL"", ""name"":""Knights"", ""nameShort"":""Knights"", ""fullname"":""Bellarmine Knights"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
599,"{'6': 'f7e6acc3-0778-4de5-940a-d88e20df1159', '15': '43744'}",6,GC,Grand Canyon,GC,Antelopes,Antelopes,Grand Canyon Antelopes,,6,92483,Basketball,CBB,None,None,"{""teamId"":""599"", ""teamIdsByProvider"":""{'6': 'f7e6acc3-0778-4de5-940a-d88e20df1159', '15': '43744'}"", ""sportId"":""6"", ""shortCode"":""GC"", ""market"":""Grand Canyon"", ""marketAbbr"":""GC"", ""name"":""Antelopes"", ""nameShort"":""Antelopes"", ""fullname"":""Grand Canyon Antelopes"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
595,"{'6': '869cf278-be37-4212-b07f-3100506f3edb', '15': '521937'}",6,TARL,Tarleton State,TARL,Texans,Texans,Tarleton State Texans,,6,92483,Basketball,CBB,None,None,"{""teamId"":""595"", ""teamIdsByProvider"":""{'6': '869cf278-be37-4212-b07f-3100506f3edb', '15': '521937'}"", ""sportId"":""6"", ""shortCode"":""TARL"", ""market"":""Tarleton State"", ""marketAbbr"":""TARL"", ""name"":""Texans"", ""nameShort"":""Texans"", ""fullname"":""Tarleton State Texans"", ""primaryColor"":"""", ""sportid2"":""6"", ""eventgroupid"":""92483"", ""generalSportName"":""Basketball"", ""sportname"":""CBB"", ""teamwebsite"":""None""}"
