regionCode,countryCode,typeCode,URLValue,isoRegionCode,name,FullValue,secretskey,jsonobject
NH,US,SB,US-NH-SB,US-NH,New Hampshire,"NH = ""US-NH-SB""",region_list_NH,"{'countryCode': 'US', 'regionCode': 'NH', 'isoRegionCode': 'US-NH', 'name': 'New Hampshire'}"
NJ,US,SB,US-NJ-SB,US-NJ,New Jersey,"NJ = ""US-NJ-SB""",region_list_NJ,"{'countryCode': 'US', 'regionCode': 'NJ', 'isoRegionCode': 'US-NJ', 'name': 'New Jersey'}"
NM,US,SB,US-NM-SB,US-NM,New Mexico,"NM = ""US-NM-SB""",region_list_NM,"{'countryCode': 'US', 'regionCode': 'NM', 'isoRegionCode': 'US-NM', 'name': 'New Mexico'}"
NY,US,SB,US-NY-SB,US-NY,New York,"NY = ""US-NY-SB""",region_list_NY,"{'countryCode': 'US', 'regionCode': 'NY', 'isoRegionCode': 'US-NY', 'name': 'New York'}"
NC,US,SB,US-NC-SB,US-NC,North Carolina,"NC = ""US-NC-SB""",region_list_NC,"{'countryCode': 'US', 'regionCode': 'NC', 'isoRegionCode': 'US-NC', 'name': 'North Carolina'}"
ND,US,SB,US-ND-SB,US-ND,North Dakota,"ND = ""US-ND-SB""",region_list_ND,"{'countryCode': 'US', 'regionCode': 'ND', 'isoRegionCode': 'US-ND', 'name': 'North Dakota'}"
MP,US,SB,US-MP-SB,US-MP,Northern Mariana Islands,"MP = ""US-MP-SB""",region_list_MP,"{'countryCode': 'US', 'regionCode': 'MP', 'isoRegionCode': 'US-MP', 'name': 'Northern Mariana Islands'}"
OH,US,SB,US-OH-SB,US-OH,Ohio,"OH = ""US-OH-SB""",region_list_OH,"{'countryCode': 'US', 'regionCode': 'OH', 'isoRegionCode': 'US-OH', 'name': 'Ohio'}"
OK,US,SB,US-OK-SB,US-OK,Oklahoma,"OK = ""US-OK-SB""",region_list_OK,"{'countryCode': 'US', 'regionCode': 'OK', 'isoRegionCode': 'US-OK', 'name': 'Oklahoma'}"
OR,US,SB,US-OR-SB,US-OR,Oregon,"OR = ""US-OR-SB""",region_list_OR,"{'countryCode': 'US', 'regionCode': 'OR', 'isoRegionCode': 'US-OR', 'name': 'Oregon'}"
PW,US,SB,US-PW-SB,US-PW,Palau,"PW = ""US-PW-SB""",region_list_PW,"{'countryCode': 'US', 'regionCode': 'PW', 'isoRegionCode': 'US-PW', 'name': 'Palau'}"
PA,US,SB,US-PA-SB,US-PA,Pennsylvania,"PA = ""US-PA-SB""",region_list_PA,"{'countryCode': 'US', 'regionCode': 'PA', 'isoRegionCode': 'US-PA', 'name': 'Pennsylvania'}"
PR,US,SB,US-PR-SB,US-PR,Puerto Rico,"PR = ""US-PR-SB""",region_list_PR,"{'countryCode': 'US', 'regionCode': 'PR', 'isoRegionCode': 'US-PR', 'name': 'Puerto Rico'}"
RI,US,SB,US-RI-SB,US-RI,Rhode Island,"RI = ""US-RI-SB""",region_list_RI,"{'countryCode': 'US', 'regionCode': 'RI', 'isoRegionCode': 'US-RI', 'name': 'Rhode Island'}"
SC,US,SB,US-SC-SB,US-SC,South Carolina,"SC = ""US-SC-SB""",region_list_SC,"{'countryCode': 'US', 'regionCode': 'SC', 'isoRegionCode': 'US-SC', 'name': 'South Carolina'}"
SD,US,SB,US-SD-SB,US-SD,South Dakota,"SD = ""US-SD-SB""",region_list_SD,"{'countryCode': 'US', 'regionCode': 'SD', 'isoRegionCode': 'US-SD', 'name': 'South Dakota'}"
TN,US,SB,US-TN-SB,US-TN,Tennessee,"TN = ""US-TN-SB""",region_list_TN,"{'countryCode': 'US', 'regionCode': 'TN', 'isoRegionCode': 'US-TN', 'name': 'Tennessee'}"
TX,US,SB,US-TX-SB,US-TX,Texas,"TX = ""US-TX-SB""",region_list_TX,"{'countryCode': 'US', 'regionCode': 'TX', 'isoRegionCode': 'US-TX', 'name': 'Texas'}"
UT,US,SB,US-UT-SB,US-UT,Utah,"UT = ""US-UT-SB""",region_list_UT,"{'countryCode': 'US', 'regionCode': 'UT', 'isoRegionCode': 'US-UT', 'name': 'Utah'}"
VT,US,SB,US-VT-SB,US-VT,Vermont,"VT = ""US-VT-SB""",region_list_VT,"{'countryCode': 'US', 'regionCode': 'VT', 'isoRegionCode': 'US-VT', 'name': 'Vermont'}"
VI,US,SB,US-VI-SB,US-VI,Virgin Islands,"VI = ""US-VI-SB""",region_list_VI,"{'countryCode': 'US', 'regionCode': 'VI', 'isoRegionCode': 'US-VI', 'name': 'Virgin Islands'}"
VA,US,SB,US-VA-SB,US-VA,Virginia,"VA = ""US-VA-SB""",region_list_VA,"{'countryCode': 'US', 'regionCode': 'VA', 'isoRegionCode': 'US-VA', 'name': 'Virginia'}"
WA,US,SB,US-WA-SB,US-WA,Washington,"WA = ""US-WA-SB""",region_list_WA,"{'countryCode': 'US', 'regionCode': 'WA', 'isoRegionCode': 'US-WA', 'name': 'Washington'}"
WV,US,SB,US-WV-SB,US-WV,West Virginia,"WV = ""US-WV-SB""",region_list_WV,"{'countryCode': 'US', 'regionCode': 'WV', 'isoRegionCode': 'US-WV', 'name': 'West Virginia'}"
WI,US,SB,US-WI-SB,US-WI,Wisconsin,"WI = ""US-WI-SB""",region_list_WI,"{'countryCode': 'US', 'regionCode': 'WI', 'isoRegionCode': 'US-WI', 'name': 'Wisconsin'}"
WY,US,SB,US-WY-SB,US-WY,Wyoming,"WY = ""US-WY-SB""",region_list_WY,"{'countryCode': 'US', 'regionCode': 'WY', 'isoRegionCode': 'US-WY', 'name': 'Wyoming'}"
